#model:  bm25
#b:  1.0
#k1 0.2
measure	noise	score
necs	0.0	0.4811553876004266
necs	0.1	0.2823892939758207
necs	0.2	0.2465753275361686
necs	0.3	0.15848926306025526
necs	0.4	0.13711714395639268
necs	0.5	0.13333248098850098
necs	0.6	0.13191252810650458
necs	0.7	0.11472656498360459
necs	0.8	0.08521660565874226
necs	0.9	0.08704104706504584
necs	1.0	0.08542830464029626
ncbp	0.0	0.5368309007977431
ncbp	0.1	0.3400037845036689
ncbp	0.2	0.29938977483979
ncbp	0.3	0.1950352931168224
ncbp	0.4	0.16731778539290176
ncbp	0.5	0.16265719067898696
ncbp	0.6	0.16299845731703086
ncbp	0.7	0.1442240080747732
ncbp	0.8	0.10737076967792582
ncbp	0.9	0.10919808894237208
ncbp	1.0	0.10757502609603319
ncp	0.0	0.5247798719166318
ncp	0.1	0.33601073429832895
ncp	0.2	0.2942860450928968
ncp	0.3	0.18794418225684362
ncp	0.4	0.16208983121016465
ncp	0.5	0.15656449805819875
ncp	0.6	0.15632382245378917
ncp	0.7	0.1401202387879282
ncp	0.8	0.1051423379992049
ncp	0.9	0.10704101120320691
ncp	1.0	0.1056496506757155
