#model:  bm25
#b:  1.0
#k1 4.9
measure	noise	score
necs	0.0	0.4572835875497192
necs	0.1	0.30675526159196126
necs	0.2	0.2395502138979839
necs	0.3	0.20372643539861165
necs	0.4	0.17597064297005313
necs	0.5	0.17014101401350168
necs	0.6	0.12385743449894612
necs	0.7	0.1435077415647701
necs	0.8	0.11236283972923967
necs	0.9	0.11747772917256741
necs	1.0	0.11089788610365242
ncbp	0.0	0.5096869626254869
ncbp	0.1	0.3629649843953866
ncbp	0.2	0.2878602706829747
ncbp	0.3	0.24848759295562697
ncbp	0.4	0.2141061012535183
ncbp	0.5	0.20935768246973804
ncbp	0.6	0.15203311521648114
ncbp	0.7	0.17248450074136287
ncbp	0.8	0.1358457232837755
ncbp	0.9	0.1426745266093973
ncbp	1.0	0.13427099527720765
ncp	0.0	0.49802069324874426
ncp	0.1	0.351338043086996
ncp	0.2	0.2796558513939169
ncp	0.3	0.23804523667509245
ncp	0.4	0.2051194356734537
ncp	0.5	0.20111156268458713
ncp	0.6	0.145830879498981
ncp	0.7	0.16552846124845907
ncp	0.8	0.1288441670686985
ncp	0.9	0.1362149819088823
ncp	1.0	0.12739911841934662
