id	timestamp	content	user	topic
2	2020-02-19 14:02:48	topic 8 is assigned to the user	12345678910	8
3	2020-02-19 14:02:50	task started	12345678910	8
4	2020-02-19 14:04:13	topic 6 is assigned to the user	A2P53AN2M8IWFP	6
5	2020-02-19 14:04:22	topic 4 is assigned to the user	A3L0DCUXI7X3A9	4
6	2020-02-19 14:04:24	task started	A3L0DCUXI7X3A9	4
7	2020-02-19 14:04:25	topic 7 is assigned to the user	ALDQRWYZ8KQ9A	7
8	2020-02-19 14:04:26	topic 3 is assigned to the user	A1JJYY622DGE5L	3
9	2020-02-19 14:04:29	task started	ALDQRWYZ8KQ9A	7
10	2020-02-19 14:04:29	task started	A1JJYY622DGE5L	3
11	2020-02-19 14:04:30	topic 9 is assigned to the user	AWJUGWPCUGKEG	9
12	2020-02-19 14:04:31	topic 9 is assigned to the user	A3RCX3IQ8L6HHW	9
13	2020-02-19 14:04:36	task started	A3RCX3IQ8L6HHW	9
14	2020-02-19 14:04:37	task started	AWJUGWPCUGKEG	9
15	2020-02-19 14:04:37	topic 7 is assigned to the user	AJACXA5FC5BYZ	7
16	2020-02-19 14:04:40	topic 5 is assigned to the user	A25JCKN3DMCYA0	5
17	2020-02-19 14:04:41	topic 9 is assigned to the user	AY6FIVEJJAWMK	9
18	2020-02-19 14:04:41	task started	AJACXA5FC5BYZ	7
19	2020-02-19 14:04:43	topic 11 is assigned to the user	A1TLNLB9D87H6	11
20	2020-02-19 14:04:43	topic 10 is assigned to the user	A2R89RXGEVG05I	10
21	2020-02-19 14:04:43	task started	A25JCKN3DMCYA0	5
22	2020-02-19 14:04:44	task started	AY6FIVEJJAWMK	9
23	2020-02-19 14:04:46	task started	A2R89RXGEVG05I	10
24	2020-02-19 14:04:51	task started	A1TLNLB9D87H6	11
25	2020-02-19 14:04:51	topic 7 is assigned to the user	A16G6PPH1INQL8	7
26	2020-02-19 14:04:53	topic 4 is assigned to the user	A1PTH9KTRO06EG	4
27	2020-02-19 14:04:53	topic 2 is assigned to the user	AYW62R027PUT1	2
28	2020-02-19 14:04:55	task started	A16G6PPH1INQL8	7
29	2020-02-19 14:04:59	topic 6 is assigned to the user	A3S3WYVCVWW8IZ	6
30	2020-02-19 14:04:59	task started	A1PTH9KTRO06EG	4
31	2020-02-19 14:04:59	topic 7 is assigned to the user	A2VAL2BRKVSUB5	7
32	2020-02-19 14:05:02	task started	A3S3WYVCVWW8IZ	6
33	2020-02-19 14:05:04	task started	A2VAL2BRKVSUB5	7
34	2020-02-19 14:05:08	topic read	A3L0DCUXI7X3A9	4
35	2020-02-19 14:05:10	topic 4 is assigned to the user	A3DUPRZSMU9W5R	4
36	2020-02-19 14:05:12	topic 8 is assigned to the user	A2VRDE2FHCBMF8	8
37	2020-02-19 14:05:12	topic read	A3RCX3IQ8L6HHW	9
38	2020-02-19 14:05:13	topic read	A1JJYY622DGE5L	3
39	2020-02-19 14:05:13	task started	A3DUPRZSMU9W5R	4
40	2020-02-19 14:05:16	task started	A2VRDE2FHCBMF8	8
41	2020-02-19 14:05:17	topic 6 is assigned to the user	A2C6HMH2FDM2CI	6
42	2020-02-19 14:05:17	task started	AYW62R027PUT1	2
43	2020-02-19 14:05:23	topic read	A25JCKN3DMCYA0	5
44	2020-02-19 14:05:23	topic read	A1PTH9KTRO06EG	4
45	2020-02-19 14:05:24	topic 10 is assigned to the user	A3AGQ2G8QI59EG	10
46	2020-02-19 14:05:26	topic read	A2VAL2BRKVSUB5	7
47	2020-02-19 14:05:26	topic 2 is assigned to the user	A23KAJRDVCVGOE	2
48	2020-02-19 14:05:28	task started	A2C6HMH2FDM2CI	6
49	2020-02-19 14:05:28	task started	A3AGQ2G8QI59EG	10
50	2020-02-19 14:05:28	topic read	A3S3WYVCVWW8IZ	6
51	2020-02-19 14:05:31	topic 9 is assigned to the user	A2S64AUN7JI7ZS	9
52	2020-02-19 14:05:32	task started	A23KAJRDVCVGOE	2
53	2020-02-19 14:05:33	topic read	AJACXA5FC5BYZ	7
54	2020-02-19 14:05:33	topic read	A3DUPRZSMU9W5R	4
55	2020-02-19 14:05:35	topic read	A3AGQ2G8QI59EG	10
56	2020-02-19 14:05:36	search started	A3S3WYVCVWW8IZ	6
57	2020-02-19 14:05:37	search started	A3AGQ2G8QI59EG	10
58	2020-02-19 14:05:38	topic read	A2R89RXGEVG05I	10
59	2020-02-19 14:05:39	task started	A2S64AUN7JI7ZS	9
60	2020-02-19 14:05:39	topic read	AY6FIVEJJAWMK	9
61	2020-02-19 14:05:43	topic 5 is assigned to the user	A1XKL37QKFITT1	5
62	2020-02-19 14:05:43	topic read	AWJUGWPCUGKEG	9
63	2020-02-19 14:05:45	topic 7 is assigned to the user	A2W434UNNBRS4L	7
64	2020-02-19 14:05:46	task started	A1XKL37QKFITT1	5
65	2020-02-19 14:05:47	search started	AWJUGWPCUGKEG	9
66	2020-02-19 14:05:48	search started	A3L0DCUXI7X3A9	4
67	2020-02-19 14:05:49	task started	A2W434UNNBRS4L	7
68	2020-02-19 14:05:49	search started	A1PTH9KTRO06EG	4
69	2020-02-19 14:05:53	topic 2 is assigned to the user	A2V66KLFVJTLKC	2
70	2020-02-19 14:05:57	search started	AJACXA5FC5BYZ	7
71	2020-02-19 14:05:58	topic read	A23KAJRDVCVGOE	2
72	2020-02-19 14:05:58	topic 9 is assigned to the user	A354IL6K61ZWHP	9
73	2020-02-19 14:05:59	topic 3 is assigned to the user	A2O5OJXCUFQ3FV	3
74	2020-02-19 14:06:01	task started	A2V66KLFVJTLKC	2
75	2020-02-19 14:06:01	task started	A354IL6K61ZWHP	9
76	2020-02-19 14:06:02	task started	A2O5OJXCUFQ3FV	3
77	2020-02-19 14:06:07	topic read	AYW62R027PUT1	2
78	2020-02-19 14:06:08	topic read	A1XKL37QKFITT1	5
79	2020-02-19 14:06:11	user queries subtopic 34 with: facts about normans	AWJUGWPCUGKEG	9
80	2020-02-19 14:06:11	engine returns: 1	AWJUGWPCUGKEG	9
81	2020-02-19 14:06:13	topic read	ALDQRWYZ8KQ9A	7
82	2020-02-19 14:06:13	topic read	A354IL6K61ZWHP	9
83	2020-02-19 14:06:15	users judges paragraph 1 relevant	AWJUGWPCUGKEG	9
84	2020-02-19 14:06:17	user queries subtopic 18 with: Information on private schooling	A1PTH9KTRO06EG	4
85	2020-02-19 14:06:17	engine returns: 607	A1PTH9KTRO06EG	4
86	2020-02-19 14:06:19	user queries subtopic 20 with: private school information	A3L0DCUXI7X3A9	4
87	2020-02-19 14:06:19	engine returns: 597	A3L0DCUXI7X3A9	4
88	2020-02-19 14:06:19	topic 10 is assigned to the user	A2EED3HLTA96CP	10
89	2020-02-19 14:06:20	topic 10 is assigned to the user	A1WH32GYQOHIRQ	10
90	2020-02-19 14:06:21	search started	A354IL6K61ZWHP	9
91	2020-02-19 14:06:22	task started	A2EED3HLTA96CP	10
92	2020-02-19 14:06:23	satisfaction question started	AWJUGWPCUGKEG	9
93	2020-02-19 14:06:24	task started	A1WH32GYQOHIRQ	10
94	2020-02-19 14:06:26	user is satisfied	AWJUGWPCUGKEG	9
95	2020-02-19 14:06:26	task completed	AWJUGWPCUGKEG	9
96	2020-02-19 14:06:28	user queries subtopic 61 with: immune system	AJACXA5FC5BYZ	7
97	2020-02-19 14:06:28	engine returns: 801	AJACXA5FC5BYZ	7
98	2020-02-19 14:06:32	search started	A1XKL37QKFITT1	5
99	2020-02-19 14:06:32	user queries subtopic 35 with: Normans	A354IL6K61ZWHP	9
100	2020-02-19 14:06:32	engine returns: 2	A354IL6K61ZWHP	9
101	2020-02-19 14:06:37	topic read	A1WH32GYQOHIRQ	10
102	2020-02-19 14:06:39	topic read	A2W434UNNBRS4L	7
103	2020-02-19 14:06:42	topic 10 is assigned to the user	A105ZUIAGMN8SW	10
104	2020-02-19 14:06:43	users judges paragraph 607 irrelevant	A1PTH9KTRO06EG	4
105	2020-02-19 14:06:44	search started	A2R89RXGEVG05I	10
106	2020-02-19 14:06:45	task started	A105ZUIAGMN8SW	10
107	2020-02-19 14:06:47	users judges paragraph 2 relevant	A354IL6K61ZWHP	9
108	2020-02-19 14:06:48	topic read	A2EED3HLTA96CP	10
109	2020-02-19 14:06:52	user queries subtopic 35 with: normans	A354IL6K61ZWHP	9
110	2020-02-19 14:06:52	engine returns: 2	A354IL6K61ZWHP	9
111	2020-02-19 14:06:54	engine returns: 521	A1XKL37QKFITT1	5
112	2020-02-19 14:06:54	user queries subtopic 7 with: earth modeling geology	A1XKL37QKFITT1	5
113	2020-02-19 14:06:56	search started	A1WH32GYQOHIRQ	10
114	2020-02-19 14:06:57	users judges paragraph 2 relevant	A354IL6K61ZWHP	9
115	2020-02-19 14:07:02	engine returns: 607	A1PTH9KTRO06EG	4
116	2020-02-19 14:07:02	user queries subtopic 18 with: Private schools in the US	A1PTH9KTRO06EG	4
117	2020-02-19 14:07:02	topic read	A105ZUIAGMN8SW	10
118	2020-02-19 14:07:04	search started	A2EED3HLTA96CP	10
119	2020-02-19 14:07:04	satisfaction question started	A354IL6K61ZWHP	9
120	2020-02-19 14:07:06	user is satisfied	A354IL6K61ZWHP	9
121	2020-02-19 14:07:06	task completed	A354IL6K61ZWHP	9
122	2020-02-19 14:07:07	topic read	A2O5OJXCUFQ3FV	3
123	2020-02-19 14:07:09	topic 6 is assigned to the user	A1WCRV1WEWA63I	6
124	2020-02-19 14:07:11	users judges paragraph 521 irrelevant	A1XKL37QKFITT1	5
125	2020-02-19 14:07:12	topic read	A2V66KLFVJTLKC	2
126	2020-02-19 14:07:13	task started	A1WCRV1WEWA63I	6
127	2020-02-19 14:07:15	topic read	A2S64AUN7JI7ZS	9
128	2020-02-19 14:07:16	topic 10 is assigned to the user	A311A0TCGNTFKK	10
129	2020-02-19 14:07:17	topic 6 is assigned to the user	A1AF25FCVKC87X	6
130	2020-02-19 14:07:19	engine returns: 374	A1WH32GYQOHIRQ	10
131	2020-02-19 14:07:19	user queries subtopic 1 with: history of amazon rainforest	A1WH32GYQOHIRQ	10
