,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.url,Answer.topic,Approve,Reject
0,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,304SM51WA34BEGSVJDD8GBO1QLHBSW,A2VL807897JLT9,Approved,Wed Feb 19 06:03:57 PST 2020,Wed Feb 19 06:26:06 PST 2020,Tue Mar 10 07:26:06 PDT 2020,Tue Feb 25 14:00:24 PST 2020,,,1329,100% (1/1),100% (1/1),100% (1/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Oxygen,X,
1,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,30IQTZXKAK6IQABKF7M6V29AEX80XV,A3RQR6LM6CHOMQ,Approved,Wed Feb 19 07:00:31 PST 2020,Wed Feb 19 07:30:29 PST 2020,Tue Mar 10 08:30:29 PDT 2020,Tue Feb 25 14:00:23 PST 2020,,,1798,100% (1/1),100% (1/1),100% (1/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Economic Inequality,X,
2,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,39ZSFO5CA8WXBCIBWALPT0P2JOKJUG,A2JW59JRBWUMR2,Rejected,Wed Feb 19 06:28:39 PST 2020,Wed Feb 19 07:10:22 PST 2020,Tue Mar 10 08:10:22 PDT 2020,,Tue Feb 25 14:00:24 PST 2020,X,2503,0% (0/1),0% (0/1),0% (0/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Economic Inequality,,X
3,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,39ZSFO5CA8WXBCIBWALPT0P2JQNUJY,A3JGSSDEJ0AWTW,Approved,Wed Feb 19 09:42:25 PST 2020,Wed Feb 19 09:59:43 PST 2020,Tue Mar 10 10:59:43 PDT 2020,Tue Feb 25 14:00:24 PST 2020,,,1038,100% (1/1),100% (1/1),100% (1/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Essay about the Amazon Rainforest,,X
4,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3BWI6RSP7G9N2LKN51HNMSYQ64HE7C,A36CZ0F88ELFWF,Approved,Wed Feb 19 06:58:15 PST 2020,Wed Feb 19 07:14:50 PST 2020,Tue Mar 10 08:14:50 PDT 2020,Tue Feb 25 14:00:25 PST 2020,,,995,100% (1/1),100% (1/1),100% (1/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Economic Inequality,X,
5,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3C5W7UE9CFQFTOIR4C94TZGNJ3KMXB,A1LFKPNCX23XN6,Submitted,Tue Feb 25 17:47:44 PST 2020,Tue Feb 25 17:56:30 PST 2020,Mon Mar 16 18:56:30 PDT 2020,,,,526,0% (0/0),0% (0/0),0% (0/0),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Immune System,X,
6,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3CN4LGXD5XOOP3JV34VAQJ6WXEWY4R,AWJUGWPCUGKEG,Rejected,Wed Feb 19 06:05:43 PST 2020,Wed Feb 19 06:12:58 PST 2020,Tue Mar 10 07:12:58 PDT 2020,,Tue Feb 25 14:00:25 PST 2020,X,435,0% (0/4),0% (0/4),0% (0/4),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,European Union Law,,X
7,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3G5F9DBFOPX1XLCLD0S9D9B6M4RHV4,A1NCSZCN8EA787,Submitted,Tue Feb 25 14:55:21 PST 2020,Tue Feb 25 15:33:30 PST 2020,Mon Mar 16 16:33:30 PDT 2020,,,,2289,0% (0/0),0% (0/0),0% (0/0),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Geology,,X
8,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3IJXV6UZ1XJ9096OAY5KCONIZ9IRIX,AABCSDU3TZLNG,Approved,Wed Feb 19 06:37:02 PST 2020,Wed Feb 19 06:49:08 PST 2020,Tue Mar 10 07:49:08 PDT 2020,Tue Feb 25 14:00:23 PST 2020,,,726,100% (1/1),100% (1/1),100% (1/1),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Intergovernmental Panel on Climate Change,X,
9,3PIOQ99R7YMQ7IB3L68GXOATMREUNZ,3POY5Z28G54OUWWVXVR7KIJZO3YSY0,"Conversational Search User Study (1$ per Topic, Manually Checked)",Search about a given topic and its subtopics.,"search task, session search",$1.00,Wed Feb 19 06:03:45 PST 2020,14,BatchId:3926170;OriginalHitTemplateId:928390855;,3600,1728000,Wed Feb 26 06:03:45 PST 2020,,,3K3R2QNK8B385052AYUC46BZPH09U1,A2B153AHPWHLH1,Submitted,Tue Feb 25 13:09:30 PST 2020,Tue Feb 25 13:20:07 PST 2020,Mon Mar 16 14:20:07 PDT 2020,,,,637,0% (0/0),0% (0/0),0% (0/0),http://ec2-3-9-177-44.eu-west-2.compute.amazonaws.com/mturk,Origins of the Normans,,X
