#model:  d-lm
#mu:  80
measure	noise	score
necs	0.0	0.695194479139357
necs	0.1	0.2509491813247683
necs	0.2	0.1896382549129106
necs	0.3	0.14837711139929372
necs	0.4	0.12821727021905396
necs	0.5	0.0980342048590265
necs	0.6	0.10405061476522678
necs	0.7	0.09276237624176628
necs	0.8	0.08157254009719174
necs	0.9	0.08332963091551754
necs	1.0	0.08165089517891187
ncbp	0.0	0.7532065629296244
ncbp	0.1	0.2959875463053239
ncbp	0.2	0.22721906886397675
ncbp	0.3	0.17826140493143464
ncbp	0.4	0.15698304625773274
ncbp	0.5	0.11978422308792275
ncbp	0.6	0.1262447896212959
ncbp	0.7	0.11319603356667779
ncbp	0.8	0.0994560463309174
ncbp	0.9	0.1020443073928588
ncbp	1.0	0.09943363454877364
ncp	0.0	0.7438217144368706
ncp	0.1	0.28130771975057134
ncp	0.2	0.21929094125782947
ncp	0.3	0.1670338776693829
ncp	0.4	0.1491857404505429
ncp	0.5	0.11269640253032044
ncp	0.6	0.1177349857014043
ncp	0.7	0.10645578759811934
ncp	0.8	0.09422227077656821
ncp	0.9	0.09686524937869452
ncp	1.0	0.09411444209176328
