#model:  tf-idf
measure	noise	score
necs	0.0	0.648866091343672
necs	0.1	0.2615851140484205
necs	0.2	0.2033277807673063
necs	0.3	0.15209771925694537
necs	0.4	0.1530571612465878
necs	0.5	0.14774611351253317
necs	0.6	0.13817195143910158
necs	0.7	0.12466189940292659
necs	0.8	0.13778175506858004
necs	0.9	0.12924243566264046
necs	1.0	0.12525741222926157
ncbp	0.0	0.7100319394481018
ncbp	0.1	0.31340601191737955
ncbp	0.2	0.24396823236305876
ncbp	0.3	0.18097181646155713
ncbp	0.4	0.18544214226305303
ncbp	0.5	0.1778596636074741
ncbp	0.6	0.16632596022630372
ncbp	0.7	0.14769985271480715
ncbp	0.8	0.1657629626054327
ncbp	0.9	0.15299380561483925
ncbp	1.0	0.1486902495700754
ncp	0.0	0.6953134333296768
ncp	0.1	0.3056886589225099
ncp	0.2	0.23757482979708724
ncp	0.3	0.1730030999660298
ncp	0.4	0.17783270731007875
ncp	0.5	0.16959694540434966
ncp	0.6	0.15908522392872684
ncp	0.7	0.13937717542976846
ncp	0.8	0.15759026439022125
ncp	0.9	0.14504170915788547
ncp	1.0	0.14059913370570595
