#model:  tf-idf
measure	noise	score
necs	0.0	0.6492212622818957
necs	0.1	0.3228517163692355
necs	0.2	0.24172434145990082
necs	0.3	0.176922149542807
necs	0.4	0.1711941970430582
necs	0.5	0.1461610159073586
necs	0.6	0.13438916686634628
necs	0.7	0.13960257784256938
necs	0.8	0.12401401102376886
necs	0.9	0.12897830769673338
necs	1.0	0.12670757677325042
ncbp	0.0	0.7101357116371962
ncbp	0.1	0.37556002851092884
ncbp	0.2	0.2851614298739302
ncbp	0.3	0.20753956016149466
ncbp	0.4	0.20018557927568145
ncbp	0.5	0.1720810929531178
ncbp	0.6	0.16050085013341422
ncbp	0.7	0.16773527066140942
ncbp	0.8	0.14703771245131825
ncbp	0.9	0.15386980178851564
ncbp	1.0	0.1506941930796789
ncp	0.0	0.6953869758368635
ncp	0.1	0.36472252318975096
ncp	0.2	0.2724359562670149
ncp	0.3	0.1974759465609404
ncp	0.4	0.18691726012604784
ncp	0.5	0.16324365103672014
ncp	0.6	0.15260400131499377
ncp	0.7	0.16018064869241838
ncp	0.8	0.13865703372359384
ncp	0.9	0.1460284845603917
ncp	1.0	0.14269890775282632
